Sexo;Edad;Periodo;Total
Mujeres;47 años;2033;355.690,752389
Mujeres;47 años;2032;362.320,318578
Mujeres;47 años;2031;367.336,191919
Mujeres;47 años;2030;379.193,537188
Mujeres;47 años;2029;387.172,921401
Mujeres;47 años;2028;398.110,492563
Mujeres;47 años;2027;402.537,734419
Mujeres;47 años;2026;412.056,134679
Mujeres;47 años;2025;410.011,826393
Mujeres;47 años;2024;412.533
Mujeres;48 años;2074;333.649,317018
Mujeres;48 años;2073;331.176,172911
Mujeres;48 años;2072;330.519,357994
Mujeres;48 años;2071;331.408,296926
Mujeres;48 años;2070;334.588,484482
Mujeres;48 años;2069;336.146,079483
Mujeres;48 años;2068;341.962,438491
Mujeres;48 años;2067;347.610,970656
Mujeres;48 años;2066;355.399,569613
Mujeres;48 años;2065;362.963,036144
Mujeres;48 años;2064;366.321,114251
Mujeres;48 años;2063;368.106,9366
Mujeres;48 años;2062;366.273,125137
Mujeres;48 años;2061;376.422,54149
Mujeres;48 años;2060;381.461,753371
Mujeres;48 años;2059;385.903,226494
Mujeres;48 años;2058;388.584,28898
Mujeres;48 años;2057;398.461,707305
Mujeres;48 años;2056;389.743,45148
Mujeres;48 años;2055;387.235,600599
Mujeres;48 años;2054;383.290,319691
Mujeres;48 años;2053;380.865,954932
Mujeres;48 años;2052;377.151,707397
Mujeres;48 años;2051;367.577,123129
Mujeres;48 años;2050;364.779,842353
Mujeres;48 años;2049;362.369,757747
Mujeres;48 años;2048;356.123,701813
Mujeres;48 años;2047;347.403,266042
Mujeres;48 años;2046;349.601,506741
Mujeres;48 años;2045;345.450,882809
Mujeres;48 años;2044;343.301,942924
Mujeres;48 años;2043;343.496,191988
Mujeres;48 años;2042;347.382,003116
Mujeres;48 años;2041;351.345,640829
Mujeres;48 años;2040;346.291,48559
Mujeres;48 años;2039;346.688,192602
Mujeres;48 años;2038;347.903,287807
Mujeres;48 años;2037;349.032,937505
Mujeres;48 años;2036;349.171,712717
Mujeres;48 años;2035;352.667,602464
Mujeres;48 años;2034;357.337,165609
Mujeres;48 años;2033;364.123,72569
Mujeres;48 años;2032;369.378,620992
Mujeres;48 años;2031;381.484,174656
Mujeres;48 años;2030;389.829,978945
Mujeres;48 años;2029;401.146,511029
Mujeres;48 años;2028;406.039,323325
Mujeres;48 años;2027;415.968,903513
Mujeres;48 años;2026;414.251,539781
Mujeres;48 años;2025;416.812,593928
Mujeres;48 años;2024;407.525
Mujeres;49 años;2074;333.069,04674
Mujeres;49 años;2073;332.400,441345
Mujeres;49 años;2072;333.279,684671
Mujeres;49 años;2071;336.418,48056
Mujeres;49 años;2070;337.960,571626
Mujeres;49 años;2069;343.752,494032
Mujeres;49 años;2068;349.370,877676
Mujeres;49 años;2067;357.125,314302
Mujeres;49 años;2066;364.656,377179
Mujeres;49 años;2065;367.993,285681
Mujeres;49 años;2064;369.764,364408
Mujeres;49 años;2063;367.931,222369
Mujeres;49 años;2062;378.049,806868
Mujeres;49 años;2061;383.068,951289
Mujeres;49 años;2060;387.483,010431
Mujeres;49 años;2059;390.142,169323
Mujeres;49 años;2058;399.979,042285
Mujeres;49 años;2057;391.259,188428
Mujeres;49 años;2056;388.725,458827
Mujeres;49 años;2055;384.743,141935
Mujeres;49 años;2054;382.271,130593
Mujeres;49 años;2053;378.523,760788
Mujeres;49 años;2052;368.941,257846
Mujeres;49 años;2051;366.108,846239
Mujeres;49 años;2050;363.648,488303
Mujeres;49 años;2049;357.384,774951
Mujeres;49 años;2048;348.667,314494
Mujeres;49 años;2047;350.834,550293
Mujeres;49 años;2046;346.681,696851
Mujeres;49 años;2045;344.521,406305
Mujeres;49 años;2044;344.708,597363
Mujeres;49 años;2043;348.592,21919
Mujeres;49 años;2042;352.545,987064
Mujeres;49 años;2041;347.511,846706
Mujeres;49 años;2040;347.895,523972
Mujeres;49 años;2039;349.103,058403
Mujeres;49 años;2038;350.241,326932
Mujeres;49 años;2037;350.416,998437
Mujeres;49 años;2036;353.959,410077
Mujeres;49 años;2035;358.703,200149
Mujeres;49 años;2034;365.587,702604
Mujeres;49 años;2033;371.010,554517
Mujeres;49 años;2032;383.289,405481
Mujeres;49 años;2031;391.923,0543
Mujeres;49 años;2030;403.554,278276
Mujeres;49 años;2029;408.874,034267
Mujeres;49 años;2028;419.233,882036
Mujeres;49 años;2027;417.956,701108
Mujeres;49 años;2026;420.820,488634
Mujeres;49 años;2025;411.616,083336
Mujeres;49 años;2024;405.036
Mujeres;50 años;2074;334.112,93684
Mujeres;50 años;2073;334.984,8369
Mujeres;50 años;2072;338.083,51562
Mujeres;50 años;2071;339.610,491134
Mujeres;50 años;2070;345.378,649669
Mujeres;50 años;2069;350.967,862486
Mujeres;50 años;2068;358.689,399821
Mujeres;50 años;2067;366.189,389871
Mujeres;50 años;2066;369.506,260539
Mujeres;50 años;2065;371.263,561279
Mujeres;50 años;2064;369.431,705456
Mujeres;50 años;2063;379.520,424859
Mujeres;50 años;2062;384.520,249059
Mujeres;50 años;2061;388.907,78522
Mujeres;50 años;2060;391.545,86245
Mujeres;50 años;2059;401.343,31096
Mujeres;50 años;2058;392.622,663546
Mujeres;50 años;2057;390.064,315661
Mujeres;50 años;2056;386.046,541137
Mujeres;50 años;2055;383.528,668696
Mujeres;50 años;2054;379.749,748182
Mujeres;50 años;2053;370.160,499592
Mujeres;50 años;2052;367.294,501111
Mujeres;50 años;2051;364.785,757899
Mujeres;50 años;2050;358.505,717939
Mujeres;50 años;2049;349.792,260173
Mujeres;50 años;2048;351.930,062783
Mujeres;50 años;2047;347.776,357197
Mujeres;50 años;2046;345.606,50373
Mujeres;50 años;2045;345.788,420636
Mujeres;50 años;2044;349.672,279602
Mujeres;50 años;2043;353.617,459499
Mujeres;50 años;2042;348.603,366067
Mujeres;50 años;2041;348.972,853425
Mujeres;50 años;2040;350.168,569596
Mujeres;50 años;2039;351.306,402202
Mujeres;50 años;2038;351.503,098738
Mujeres;50 años;2037;355.068,121843
Mujeres;50 años;2036;359.852,309834
Mujeres;50 años;2035;366.790,489095
Mujeres;50 años;2034;372.324,498845
Mujeres;50 años;2033;384.712,407582
Mujeres;50 años;2032;393.559,761002
Mujeres;50 años;2031;405.433,691173
Mujeres;50 años;2030;411.115,702169
Mujeres;50 años;2029;421.870,721147
Mujeres;50 años;2028;421.051,905774
Mujeres;50 años;2027;424.329,359347
Mujeres;50 años;2026;415.461,028357
Mujeres;50 años;2025;408.916,161866
Mujeres;50 años;2024;394.228
Mujeres;51 años;2074;336.521,304236
Mujeres;51 años;2073;339.582,903698
Mujeres;51 años;2072;341.095,463446
Mujeres;51 años;2071;346.840,084168
Mujeres;51 años;2070;352.400,455422
Mujeres;51 años;2069;360.089,722237
Mujeres;51 años;2068;367.559,501688
Mujeres;51 años;2067;370.857,196315
Mujeres;51 años;2066;372.601,506856
Mujeres;51 años;2065;370.771,475784
Mujeres;51 años;2064;380.831,06914
Mujeres;51 años;2063;385.812,039315
Mujeres;51 años;2062;390.173,529032
Mujeres;51 años;2061;392.790,898502
Mujeres;51 años;2060;402.549,390271
Mujeres;51 años;2059;393.828,308716
Mujeres;51 años;2058;391.246,001901
Mujeres;51 años;2057;387.193,753156
Mujeres;51 años;2056;384.631,183773
Mujeres;51 años;2055;380.821,732077
Mujeres;51 años;2054;371.226,64234
Mujeres;51 años;2053;368.328,076874
Mujeres;51 años;2052;365.772,238389
Mujeres;51 años;2051;359.476,75023
Mujeres;51 años;2050;350.767,930349
Mujeres;51 años;2049;352.877,013105
Mujeres;51 años;2048;348.723,104526
Mujeres;51 años;2047;346.544,59476
Mujeres;51 años;2046;346.722,112581
Mujeres;51 años;2045;350.606,858572
Mujeres;51 años;2044;354.545,27655
Mujeres;51 años;2043;349.551,594595
Mujeres;51 años;2042;349.906,68817
Mujeres;51 años;2041;351.088,534569
Mujeres;51 años;2040;352.220,768587
Mujeres;51 años;2039;352.428,581785
Mujeres;51 años;2038;356.000,129446
Mujeres;51 años;2037;360.800,599196
Mujeres;51 años;2036;367.759,153092
Mujeres;51 años;2035;373.359,448216
Mujeres;51 años;2034;385.802,181225
Mujeres;51 años;2033;394.796,616902
Mujeres;51 años;2032;406.841,405286
Mujeres;51 años;2031;412.810,463218
Mujeres;51 años;2030;423.896,199415
Mujeres;51 años;2029;423.498,298171
Mujeres;51 años;2028;427.205,163083
Mujeres;51 años;2027;418.777,410161
Mujeres;51 años;2026;412.515,397667
Mujeres;51 años;2025;397.938,577726
Mujeres;51 años;2024;392.635
Mujeres;52 años;2074;340.912,251828
Mujeres;52 años;2073;342.413,807142
Mujeres;52 años;2072;348.135,897418
Mujeres;52 años;2071;353.667,664693
Mujeres;52 años;2070;361.324,965425
Mujeres;52 años;2069;368.765,101542
Mujeres;52 años;2068;372.044,393525
Mujeres;52 años;2067;373.776,637209
Mujeres;52 años;2066;371.949,244862
Mujeres;52 años;2065;381.980,776254
Mujeres;52 años;2064;386.943,713608
Mujeres;52 años;2063;391.279,900775
Mujeres;52 años;2062;393.877,142232
Mujeres;52 años;2061;403.597,332897
Mujeres;52 años;2060;394.876,210275
Mujeres;52 años;2059;392.270,635613
Mujeres;52 años;2058;388.184,852817
Mujeres;52 años;2057;385.578,748978
Mujeres;52 años;2056;381.739,851609
Mujeres;52 años;2055;372.139,911302
Mujeres;52 años;2054;369.210,011206
Mujeres;52 años;2053;366.608,492345
Mujeres;52 años;2052;360.298,651641
Mujeres;52 años;2051;351.595,312183
Mujeres;52 años;2050;353.676,592152
Mujeres;52 años;2049;349.523,222174
Mujeres;52 años;2048;347.336,974958
Mujeres;52 años;2047;347.510,983035
Mujeres;52 años;2046;351.397,397344
Mujeres;52 años;2045;355.330,150663
Mujeres;52 años;2044;350.359,234287
Mujeres;52 años;2043;350.701,000367
Mujeres;52 años;2042;351.869,165746
Mujeres;52 años;2041;352.994,203931
Mujeres;52 años;2040;353.208,503054
Mujeres;52 años;2039;356.777,720391
Mujeres;52 años;2038;361.579,707751
Mujeres;52 años;2037;368.536,608997
Mujeres;52 años;2036;374.171,339261
Mujeres;52 años;2035;386.628,17372
Mujeres;52 años;2034;395.716,221659
Mujeres;52 años;2033;407.869,917004
Mujeres;52 años;2032;414.054,581331
Mujeres;52 años;2031;425.399,231403
Mujeres;52 años;2030;425.359,5132
Mujeres;52 años;2029;429.460,050715
Mujeres;52 años;2028;421.487,864317
Mujeres;52 años;2027;415.613,335601
Mujeres;52 años;2026;401.382,073547
Mujeres;52 años;2025;396.087,316281
Mujeres;52 años;2024;386.104
Mujeres;53 años;2074;343.555,874446
Mujeres;53 años;2073;349.259,552399
Mujeres;53 años;2072;354.763,892326
Mujeres;53 años;2071;362.389,457309
Mujeres;53 años;2070;369.800,137378
Mujeres;53 años;2069;373.061,441112
Mujeres;53 años;2068;374.782,405272
Mujeres;53 años;2067;372.958,594872
Mujeres;53 años;2066;382.963,34975
Mujeres;53 años;2065;387.909,39659
Mujeres;53 años;2064;392.221,366905
Mujeres;53 años;2063;394.799,357539
Mujeres;53 años;2062;404.482,132452
Mujeres;53 años;2061;395.761,539432
Mujeres;53 años;2060;393.133,455268
Mujeres;53 años;2059;389.015,113564
Mujeres;53 años;2058;386.366,623761
Mujeres;53 años;2057;382.499,422148
Mujeres;53 años;2056;372.895,725909
Mujeres;53 años;2055;369.935,845744
Mujeres;53 años;2054;367.290,277757
Mujeres;53 años;2053;360.967,413943
Mujeres;53 años;2052;352.270,705512
Mujeres;53 años;2051;354.325,412196
Mujeres;53 años;2050;350.173,59056
Mujeres;53 años;2049;347.980,697174
Mujeres;53 años;2048;348.152,22147
Mujeres;53 años;2047;352.041,239049
Mujeres;53 años;2046;355.969,600003
Mujeres;53 años;2045;351.022,852787
Mujeres;53 años;2044;351.354,476876
Mujeres;53 años;2043;352.510,479689
Mujeres;53 años;2042;353.629,000515
Mujeres;53 años;2041;353.848,734966
Mujeres;53 años;2040;357.412,003883
Mujeres;53 años;2039;362.207,880613
Mujeres;53 años;2038;369.150,236255
Mujeres;53 años;2037;374.798,751738
Mujeres;53 años;2036;387.241,545018
Mujeres;53 años;2035;396.383,40817
Mujeres;53 años;2034;408.596,864188
Mujeres;53 años;2033;414.935,836754
Mujeres;53 años;2032;426.471,576803
Mujeres;53 años;2031;426.720,106567
Mujeres;53 años;2030;431.154,339926
Mujeres;53 años;2029;423.602,448718
Mujeres;53 años;2028;418.132,750194
Mujeres;53 años;2027;404.343,987813
Mujeres;53 años;2026;399.292,996132
Mujeres;53 años;2025;389.384,587212
Mujeres;53 años;2024;380.959
Mujeres;54 años;2074;350.199,563749
Mujeres;54 años;2073;355.680,934096
Mujeres;54 años;2072;363.275,805392
Mujeres;54 años;2071;370.656,832853
Mujeres;54 años;2070;373.899,804892
Mujeres;54 años;2069;375.609,510285
Mujeres;54 años;2068;373.789,717966
Mujeres;54 años;2067;383.768,559273
Mujeres;54 años;2066;388.698,616198
Mujeres;54 años;2065;392.987,272384
Mujeres;54 años;2064;395.546,758007
Mujeres;54 años;2063;405.192,676531
Mujeres;54 años;2062;396.473,036351
Mujeres;54 años;2061;393.822,865578
Mujeres;54 años;2060;389.672,485001
Mujeres;54 años;2059;386.982,228179
Mujeres;54 años;2058;383.087,300914
Mujeres;54 años;2057;373.480,543746
Mujeres;54 años;2056;370.491,498445
Mujeres;54 años;2055;367.802,93021
Mujeres;54 años;2054;361.468,039749
Mujeres;54 años;2053;352.778,847826
Mujeres;54 años;2052;354.807,655475
Mujeres;54 años;2051;350.657,995982
Mujeres;54 años;2050;348.459,004985
Mujeres;54 años;2049;348.628,33725
Mujeres;54 años;2048;352.519,92019
Mujeres;54 años;2047;356.444,041316
Mujeres;54 años;2046;351.522,056604
Mujeres;54 años;2045;351.844,407158
Mujeres;54 años;2044;352.990,510347
Mujeres;54 años;2043;354.102,790926
Mujeres;54 años;2042;354.327,388153
Mujeres;54 años;2041;357.882,503889
Mujeres;54 años;2040;362.667,417743
Mujeres;54 años;2039;369.586,57213
Mujeres;54 años;2038;375.234,479412
Mujeres;54 años;2037;387.642,274519
Mujeres;54 años;2036;396.807,259775
Mujeres;54 años;2035;409.040,482678
Mujeres;54 años;2034;415.481,641451
Mujeres;54 años;2033;427.146,178272
Mujeres;54 años;2032;427.613,428693
Mujeres;54 años;2031;432.310,482515
Mujeres;54 años;2030;425.117,155227
Mujeres;54 años;2029;420.017,568916
Mujeres;54 años;2028;406.682,260371
Mujeres;54 años;2027;401.971,811641
Mujeres;54 años;2026;392.357,817371
Mujeres;54 años;2025;383.959,814573
Mujeres;54 años;2024;376.750
Mujeres;55 años;2074;356.406,168712
Mujeres;55 años;2073;363.975,521395
Mujeres;55 años;2072;371.328,106665
Mujeres;55 años;2071;374.552,517547
Mujeres;55 años;2070;376.250,666823
Mujeres;55 años;2069;374.435,050304
Mujeres;55 años;2068;384.388,705283
Mujeres;55 años;2067;389.303,866569
Mujeres;55 años;2066;393.570,470234
Mujeres;55 años;2065;396.112,709706
Mujeres;55 años;2064;405.722,879894
Mujeres;55 años;2063;397.005,207778
Mujeres;55 años;2062;394.333,841092
Mujeres;55 años;2061;390.152,320106
Mujeres;55 años;2060;387.421,175574
Mujeres;55 años;2059;383.499,370084
Mujeres;55 años;2058;373.890,474665
Mujeres;55 años;2057;370.873,33438
Mujeres;55 años;2056;368.143,068654
Mujeres;55 años;2055;361.797,48456
Mujeres;55 años;2054;353.117,201722
Mujeres;55 años;2053;355.121,342596
Mujeres;55 años;2052;350.975,090099
Mujeres;55 años;2051;348.771,183284
Mujeres;55 años;2050;348.939,287711
Mujeres;55 años;2049;352.834,100534
Mujeres;55 años;2048;356.754,7637
Mujeres;55 años;2047;351.858,57819
Mujeres;55 años;2046;352.173,025517
Mujeres;55 años;2045;353.310,7459
Mujeres;55 años;2044;354.419,990186
Mujeres;55 años;2043;354.650,643165
Mujeres;55 años;2042;358.198,148784
Mujeres;55 años;2041;362.971,271225
Mujeres;55 años;2040;369.864,179472
Mujeres;55 años;2039;375.504,593322
Mujeres;55 años;2038;387.865,991371
Mujeres;55 años;2037;397.035,151537
Mujeres;55 años;2036;409.261,516955
Mujeres;55 años;2035;415.767,183738
Mujeres;55 años;2034;427.512,465633
Mujeres;55 años;2033;428.140,04883
Mujeres;55 años;2032;433.034,618179
Mujeres;55 años;2031;426.132,697191
Mujeres;55 años;2030;421.346,69524
Mujeres;55 años;2029;408.429,577512
Mujeres;55 años;2028;404.075,491309
Mujeres;55 años;2027;394.846,778254
Mujeres;55 años;2026;386.693,48897
Mujeres;55 años;2025;379.569,076393
Mujeres;55 años;2024;373.939
Mujeres;56 años;2074;364.473,891782
Mujeres;56 años;2073;371.803,500675
Mujeres;56 años;2072;375.010,325862
Mujeres;56 años;2071;376.696,304126
Mujeres;56 años;2070;374.884,227319
Mujeres;56 años;2069;384.812,386481
Mujeres;56 años;2068;389.713,015675
Mujeres;56 años;2067;393.958,356748
Mujeres;56 años;2066;396.484,356271
Mujeres;56 años;2065;406.059,601315
Mujeres;56 años;2064;397.345,058381
Mujeres;56 años;2063;394.653,315269
Mujeres;56 años;2062;390.441,389584
Mujeres;56 años;2061;387.669,945885
Mujeres;56 años;2060;383.721,753207
Mujeres;56 años;2059;374.111,403566
Mujeres;56 años;2058;371.066,72854
Mujeres;56 años;2057;368.295,529895
Mujeres;56 años;2056;361.940,229805
Mujeres;56 años;2055;353.270,038473
Mujeres;56 años;2054;355.250,330421
Mujeres;56 años;2053;351.108,53562
Mujeres;56 años;2052;348.900,68384
Mujeres;56 años;2051;349.068,248588
Mujeres;56 años;2050;352.966,54436
Mujeres;56 años;2049;356.883,969348
Mujeres;56 años;2048;352.014,282933
Mujeres;56 años;2047;352.321,504556
Mujeres;56 años;2046;353.451,60415
Mujeres;56 años;2045;354.558,68495
Mujeres;56 años;2044;354.798,089175
Mujeres;56 años;2043;358.338,395212
Mujeres;56 años;2042;363.099,468799
Mujeres;56 años;2041;369.964,571583
Mujeres;56 años;2040;375.593,624143
Mujeres;56 años;2039;387.901,302051
Mujeres;56 años;2038;397.062,027471
Mujeres;56 años;2037;409.262,653307
Mujeres;56 años;2036;415.805,107976
Mujeres;56 años;2035;427.593,42571
Mujeres;56 años;2034;428.333,595554
Mujeres;56 años;2033;433.368,015071
Mujeres;56 años;2032;426.693,159395
Mujeres;56 años;2031;422.156,565535
Mujeres;56 años;2030;409.599,971789
Mujeres;56 años;2029;405.570,935343
Mujeres;56 años;2028;396.738,719403
Mujeres;56 años;2027;388.919,883234
Mujeres;56 años;2026;382.083,047208
Mujeres;56 años;2025;376.462,678014
Mujeres;56 años;2024;376.382
Mujeres;57 años;2074;372.067,451137
Mujeres;57 años;2073;375.262,746458
Mujeres;57 años;2072;376.937,545755
Mujeres;57 años;2071;375.128,305493
Mujeres;57 años;2070;385.029,824961
Mujeres;57 años;2069;389.915,454155
Mujeres;57 años;2068;394.139,717435
Mujeres;57 años;2067;396.650,216123
Mujeres;57 años;2066;406.191,194181
Mujeres;57 años;2065;397.481,185584
Mujeres;57 años;2064;394.770,076897
Mujeres;57 años;2063;390.528,593936
Mujeres;57 años;2062;387.717,428119
Mujeres;57 años;2061;383.743,297898
Mujeres;57 años;2060;374.132,118276
Mujeres;57 años;2059;371.060,20486
Mujeres;57 años;2058;368.248,427272
Mujeres;57 años;2057;361.884,126276
Mujeres;57 años;2056;353.225,053643
Mujeres;57 años;2055;355.181,971826
Mujeres;57 años;2054;351.045,636299
Mujeres;57 años;2053;348.834,708475
Mujeres;57 años;2052;349.002,372749
Mujeres;57 años;2051;352.904,314201
Mujeres;57 años;2050;356.818,544575
Mujeres;57 años;2049;351.975,980652
Mujeres;57 años;2048;352.276,270733
Mujeres;57 años;2047;353.399,007787
Mujeres;57 años;2046;354.504,261404
Mujeres;57 años;2045;354.752,914461
Mujeres;57 años;2044;358.288,278417
Mujeres;57 años;2043;363.037,048738
Mujeres;57 años;2042;369.873,390451
Mujeres;57 años;2041;375.488,937539
Mujeres;57 años;2040;387.738,215492
Mujeres;57 años;2039;396.882,457901
Mujeres;57 años;2038;409.044,522425
Mujeres;57 años;2037;415.604,424677
Mujeres;57 años;2036;427.407,690127
Mujeres;57 años;2035;428.223,720745
Mujeres;57 años;2034;433.350,577913
Mujeres;57 años;2033;426.846,783403
Mujeres;57 años;2032;422.497,804269
Mujeres;57 años;2031;410.237,506637
Mujeres;57 años;2030;406.479,381601
Mujeres;57 años;2029;398.010,034057
Mujeres;57 años;2028;390.537,498594
Mujeres;57 años;2027;384.068,851412
Mujeres;57 años;2026;378.658,263818
Mujeres;57 años;2025;378.616,360469
Mujeres;57 años;2024;366.339
Mujeres;58 años;2074;375.297,279089
Mujeres;58 años;2073;376.968,016396
Mujeres;58 años;2072;375.163,21619
Mujeres;58 años;2071;385.037,270699
Mujeres;58 años;2070;389.907,120638
Mujeres;58 años;2069;394.110,116947
Mujeres;58 años;2068;396.605,784685
Mujeres;58 años;2067;406.113,432884
Mujeres;58 años;2066;397.409,952433
Mujeres;58 años;2065;394.681,220052
Mujeres;58 años;2064;390.411,814951
Mujeres;58 años;2063;387.562,250429
Mujeres;58 años;2062;383.563,360476
Mujeres;58 años;2061;373.952,617984
Mujeres;58 años;2060;370.854,270623
Mujeres;58 años;2059;368.002,675564
Mujeres;58 años;2058;361.630,441085
Mujeres;58 años;2057;352.983,90681
Mujeres;58 años;2056;354.918,483028
Mujeres;58 años;2055;350.789,180871
Mujeres;58 años;2054;348.576,808815
Mujeres;58 años;2053;348.746,110715
Mujeres;58 años;2052;352.653,029655
Mujeres;58 años;2051;356.565,309957
Mujeres;58 años;2050;351.751,48794
Mujeres;58 años;2049;352.046,143857
Mujeres;58 años;2048;353.162,764114
Mujeres;58 años;2047;354.267,48888
Mujeres;58 años;2046;354.526,85463
Mujeres;58 años;2045;358.058,755489
Mujeres;58 años;2044;362.799,084886
Mujeres;58 años;2043;369.608,101292
Mujeres;58 años;2042;375.211,215646
Mujeres;58 años;2041;387.402,037499
Mujeres;58 años;2040;396.527,892923
Mujeres;58 años;2039;408.646,599826
Mujeres;58 años;2038;415.214,568109
Mujeres;58 años;2037;427.017,084482
Mujeres;58 años;2036;427.885,657261
Mujeres;58 años;2035;433.072,336072
Mujeres;58 años;2034;426.697,142417
Mujeres;58 años;2033;422.485,121302
Mujeres;58 años;2032;410.462,247122
Mujeres;58 años;2031;406.917,364754
Mujeres;58 años;2030;398.758,856354
Mujeres;58 años;2029;391.603,906274
Mujeres;58 años;2028;385.513,221647
Mujeres;58 años;2027;380.396,807403
Mujeres;58 años;2026;380.583,979718
Mujeres;58 años;2025;368.420,301254
Mujeres;58 años;2024;364.022
Mujeres;59 años;2074;376.775,386322
Mujeres;59 años;2073;374.982,748716
Mujeres;59 años;2072;384.830,245768
Mujeres;59 años;2071;389.683,178241
Mujeres;59 años;2070;393.863,536242
Mujeres;59 años;2069;396.343,760384
Mujeres;59 años;2068;405.817,910899
Mujeres;59 años;2067;397.122,388944
Mujeres;59 años;2066;394.377,380393
Mujeres;59 años;2065;390.081,455904
Mujeres;59 años;2064;387.194,648202
Mujeres;59 años;2063;383.172,035123
Mujeres;59 años;2062;373.562,902976
Mujeres;59 años;2061;370.438,562315
Mujeres;59 años;2060;367.547,32522
Mujeres;59 años;2059;361.167,679983
Mujeres;59 años;2058;352.534,535429
Mujeres;59 años;2057;354.446,96326
Mujeres;59 años;2056;350.325,619604
Mujeres;59 años;2055;348.112,749502
Mujeres;59 años;2054;348.284,639664
Mujeres;59 años;2053;352.197,210897
Mujeres;59 años;2052;356.108,144305
Mujeres;59 años;2051;351.324,35464
Mujeres;59 años;2050;351.614,024758
Mujeres;59 años;2049;352.724,972415
Mujeres;59 años;2048;353.829,541542
Mujeres;59 años;2047;354.100,074464
Mujeres;59 años;2046;357.628,703637
Mujeres;59 años;2045;362.360,763152
Mujeres;59 años;2044;369.144,897734
Mujeres;59 años;2043;374.735,416526
Mujeres;59 años;2042;386.866,510602
Mujeres;59 años;2041;395.972,025994
Mujeres;59 años;2040;408.043,350297
Mujeres;59 años;2039;414.612,860084
Mujeres;59 años;2038;426.403,038869
Mujeres;59 años;2037;427.307,655999
Mujeres;59 años;2036;432.529,429197
Mujeres;59 años;2035;426.250,256276
Mujeres;59 años;2034;422.133,541798
Mujeres;59 años;2033;410.297,066928
Mujeres;59 años;2032;406.909,040611
Mujeres;59 años;2031;399.002,439158
Mujeres;59 años;2030;392.114,823387
Mujeres;59 años;2029;386.369,568775
Mujeres;59 años;2028;381.558,211937
Mujeres;59 años;2027;382.049,312393
Mujeres;59 años;2026;370.178,282453
Mujeres;59 años;2025;365.806,128726
Mujeres;59 años;2024;368.073
Mujeres;60 años;2074;374.574,944058
Mujeres;60 años;2073;384.403,772152
Mujeres;60 años;2072;389.241,063751
Mujeres;60 años;2071;393.397,511545
Mujeres;60 años;2070;395.860,910483
Mujeres;60 años;2069;405.300,498088
Mujeres;60 años;2068;396.613,799256
Mujeres;60 años;2067;393.853,665489
Mujeres;60 años;2066;389.532,702937
Mujeres;60 años;2065;386.610,108987
Mujeres;60 años;2064;382.565,311867
Mujeres;60 años;2063;372.959,496652
Mujeres;60 años;2062;369.810,016653
Mujeres;60 años;2061;366.879,578118
Mujeres;60 años;2060;360.493,210451
Mujeres;60 años;2059;351.874,40668
Mujeres;60 años;2058;353.764,859873
Mujeres;60 años;2057;349.652,426388
Mujeres;60 años;2056;347.440,051741
Mujeres;60 años;2055;347.615,630913
Mujeres;60 años;2054;351.534,924658
Mujeres;60 años;2053;355.445,550602
Mujeres;60 años;2052;350.693,623072
Mujeres;60 años;2051;350.979,489222
Mujeres;60 años;2050;352.085,768137
Mujeres;60 años;2049;353.191,078348
Mujeres;60 años;2048;353.473,702008
Mujeres;60 años;2047;356.999,659303
Mujeres;60 años;2046;361.724,011988
Mujeres;60 años;2045;368.483,738565
Mujeres;60 años;2044;374.065,171986
Mujeres;60 años;2043;386.136,504443
Mujeres;60 años;2042;395.221,7323
Mujeres;60 años;2041;407.244,666905
Mujeres;60 años;2040;413.813,640177
Mujeres;60 años;2039;425.586,160332
Mujeres;60 años;2038;426.518,318344
Mujeres;60 años;2037;431.760,487301
Mujeres;60 años;2036;425.556,175623
Mujeres;60 años;2035;421.505,336885
Mujeres;60 años;2034;409.816,205348
Mujeres;60 años;2033;406.538,317022
Mujeres;60 años;2032;398.829,584029
Mujeres;60 años;2031;392.155,070043
Mujeres;60 años;2030;386.705,503466
Mujeres;60 años;2029;382.172,023129
Mujeres;60 años;2028;382.975,646675
Mujeres;60 años;2027;371.469,945913
Mujeres;60 años;2026;367.301,393079
Mujeres;60 años;2025;369.591,432445
Mujeres;60 años;2024;349.178
Mujeres;61 años;2074;383.743,234861
Mujeres;61 años;2073;388.573,546805
Mujeres;61 años;2072;392.707,197056
Mujeres;61 años;2071;395.152,268683
Mujeres;61 años;2070;404.554,994404
Mujeres;61 años;2069;395.876,862232
Mujeres;61 años;2068;393.101,815774
Mujeres;61 años;2067;388.756,773058
Mujeres;61 años;2066;385.799,62323
Mujeres;61 años;2065;381.734,274597
Mujeres;61 años;2064;372.133,871147
Mujeres;61 años;2063;368.960,312173
Mujeres;61 años;2062;365.991,19388
Mujeres;61 años;2061;359.598,846405
Mujeres;61 años;2060;350.995,257735
Mujeres;61 años;2059;352.863,443733
Mujeres;61 años;2058;348.760,401615
Mujeres;61 años;2057;346.548,975067
Mujeres;61 años;2056;346.728,742245
Mujeres;61 años;2055;350.655,170508
Mujeres;61 años;2054;354.565,982451
Mujeres;61 años;2053;349.847,495292
Mujeres;61 años;2052;350.130,363637
Mujeres;61 años;2051;351.232,572072
Mujeres;61 años;2050;352.339,082472
Mujeres;61 años;2049;352.634,207408
Mujeres;61 años;2048;356.157,291608
Mujeres;61 años;2047;360.873,466068
